key,cleaned_tokens,label,label2
k12,"police,eight,foreign,men,aged,investigation,death,foreign,factory,worker,last,district,police,chief,wan,wan,said,respective,baru,day,following,arrest,said,police,also,found,stick,used,hit,victim,last,district,police,received,report,hospital,medical,officer,informed,man,foreign,nationality,sent,hospital,unconscious,state,bleeding,leg,hand,said,statement,today,said,case,section,penal,code,advised,public,make,share,inaccurate,information,avoid,investigation,causing,public,annoyance",Murder and Homicide,Murder and Homicide
k14,"eighteen,foreign,woman,suspicion,involved,fraud,south,united,u,district,police,chief,said,local,men,one,local,woman,foreign,woman,two,condominium,police,also,equipment,mobile,raid,syndicate,getting,people,invest,nonexistent,investment,south,u,invite,invest,poly,x,platform,promising,return,per,cent,profit,however,receive,said,statement,today,said,carrying,past,three,received,payment,per,month,one,day,yesterday,value,ownership,still,police,investigation,said,case,section,penal,code,fraud",Others,Others
k15,"two,underage,girl,guilty,session,court,today,two,two,underage,sexual,exploitation,first,charge,friend,together,teenage,girl,sexual,exploitation,hotel,along,second,charge,two,accused,act,another,girl,separate,room,hotel,date,section,act,read,together,section,penal,code,life,imprisonment,imprisonment,period,le,five,whipped,deputy,public,prosecutor,pi,handled,prosecution,case,accused,judge,accused,one,surety,first,charge,one,surety,second,charge,two,accused,also,subject,additional,nearest,police,station,every,month,approach,prosecution,court,fixed,august,case",Sexual Harassment or Sexual Offences or Rape,Sexual Harassment or Sexual Offences or Rape
k16,"total,foreign,police,following,massage,valley,allegedly,employed,sex,antivice,gambling,secret,division,d,principal,assistant,director,sac,said,included,six,five,five,one,aged,nine,men,also,one,foreign,national,worked,counter,attendant,customer,massage,suspected,foreign,without,valid,providing,immoral,solely,regular,foreign,service,ranging,said,revealed,foreign,social,visit,identification,case,section,b,penal,code,immigration,act,separate,case,two,men,suspected,football,betting,yesterday,two,condominium,said,found,two,earning,per,month,betting,reportedly,earning,every,day",Sexual Harassment or Sexual Offences or Rape,Sexual Harassment or Sexual Offences or Rape
k18,"police,driver,four,direction,city,heading,towards,sunway,medical,traffic,light,intersection,yesterday,police,chief,said,received,police,four,vehicle,accident,honda,city,car,hit,four,stationary,behind,sunway,medical,traffic,vehicle,hit,right,side,car,rear,swift,right,side,left,side,suspect,stopped,vehicle,near,sunway,medical,lobby,fled,said,today,police,later,found,assorted,five,seven,ecstasy,worth,runaway,car,besides,three,mobile,two,residential,access,anyone,information,incident,contact,police,traffic,police,nearest,police,station,said",Not applicable,Others
k19,"former,scrap,metal,death,sentence,killing,transvestite,ago,jail,federal,court,today,panel,chief,justice,tun,tuan,mat,federal,court,abu,v,review,application,revision,sentence,death,imprisonment,natural,life,temporary,jurisdiction,federal,court,act,justice,ordered,prison,sentence,raja,begin,date,arrest,may,also,raja,found,guilty,high,court,killing,m,flood,retention,pond,air,august,overturn,conviction,death,sentence,court,appeal,federal,court,deputy,public,prosecutor,court,uphold,death,sentence,extremely,brutal,nature,murder,apparent,lack,motive,based,case,said,night,murder,raja,group,went,van,location,deceased,deceased,woman,worked,prostitute,forced,enter,van,sexual,intercourse,raja,later,knife,lawyer,court,give,client,chance,death,sentence,life,imprisonment,meanwhile,panel,death,sentence,jail,murdering,lover,review,application,act,justice,also,cane,jail,term,start,date,arrest,death,high,court,killing,also,house,court,appeal,federal,court,following,year,court,uphold,death,sentence,saying,deceased,struck,three,time,head,bag,large,rock,however,lawyer,sen,life,imprisonment,saying,crime,passion,added,client,deceased,struck,affair,another,man",Murder and Homicide,Murder and Homicide
k20,"former,construction,renovation,company,owner,six,prison,session,court,today,guilty,transferring,million,belonging,woman,related,job,offer,judge,admitted,transferring,belonging,tan,boon,see,bank,account,company,aw,renovation,premise,section,penal,code,maximum,sentence,five,prison,fine,subsequently,six,prison,pleading,guilty,belonging,saw,soon,transferred,money,bank,account,act,section,ordered,prison,run,concurrently,date,arrest,june,also,ordered,begin,prison,sentence,date,case,handled,deputy,public,prosecutor,accused,unrepresented,separate,session,court,judge,six,prison,guilty,similar,belonging,victim,tan,ordered,sentence,begin,immediately,deputy,public,prosecutor,amir,prosecution,according,case,victim,come,across,job,offer,page,account,task,book,top,account,balance,insufficient,first,task,received,return,money,led,believe,job,legitimate,consequently,made,several,bank,account,later,money,returned,investigating,also,million,victim,avoid,accused,later,explain,company,bank,account",Money Laundering,Money Laundering
k21,"unemployed,man,police,officer,one,year,jail,three,cane,session,court,today,robbery,judge,handed,sentence,m,guilty,charge,robbing,bag,two,mobile,card,belonging,boy,last,year,section,penal,code,maximum,prison,sentence,fine,whipping,upon,conviction,based,case,accused,police,officer,stopped,boy,riding,bicycle,bag,deputy,public,prosecutor,prosecution,unrepresented",Robbery or Theft,Robbery or Theft
k22,"disabled,man,court,today,murder,mother,last,month,charge,read,magistrate,however,plea,murder,fall,jurisdiction,high,court,lai,accused,causing,death,chew,sok,ha,housing,estate,june,section,penal,code,death,penalty,upon,conviction,deputy,public,prosecutor,accused,sent,hospital,mental,assessment,section,criminal,procedure,code,request,determine,mental,case,mention,august,june,district,police,chief,chang,hook,said,accused,disabled,card,mother,elderly,woman,found,unconscious,compound",Murder and Homicide,Murder and Homicide
k23,"woman,lost,million,falling,victim,nonexistent,investment,scheme,police,chief,said,victim,saw,advertisement,financial,success,last,year,filled,form,individual,via,victim,join,group,related,share,management,individual,three,victim,join,another,group,several,taught,victim,invest,made,cash,bank,account,number,given,said,statement,today,said,unemployed,victim,made,several,march,june,money,family,sale,asset,lucrative,million,short,period,today,victim,received,voice,blocked,lodged,report,district,police,headquarters,said",Cyber Crime,Cyber Crime
k24,"high,court,former,prime,minister,legal,bid,obtain,document,said,allow,serve,prison,sentence,house,arrest,judicial,review,application,said,addendum,order,former,king,decision,halve,year,jail,sentence,graft,development,scandal,sought,court,compel,government,reply,confirm,existence,royal,order,said,entitle,serve,remainder,term,house,arrest,execute,order,copy,judgment,medium,today,high,court,found,arguable,case,full,hearing,application,judge,singh,deputy,prime,minister,another,politician,party,saying,seen,copy,royal,order,hearsay,said,government,legal,duty,respond,application,appeal,decision,lawyer,tan,sri,told,ethic,government,said,board,halved,term,former,yang,shah,whose,reign,king,ended,found,guilty,criminal,breach,trust,abuse,power,illegally,fund,unit,state,fund,verdict,upheld,federal,court,united,estimate,u,billion,billion,stolen,u,billion,channelled,linked,board,said,august,six,serving,sentence,also,reduced,minister,sparking,uproar,among,also,considering,filing,new,petition,full,pardon,remains,trial,corruption,several",Others,Others
k25,"shah,police,luxury,car,theft,syndicate,known,arrest,seven,two,series,around,june,june,police,chief,khan,said,aged,police,received,report,june,man,rented,house,broken,making,three,namely,r,cayman,swift,time,incident,employer,said,china,around,told,press,conference,contingent,police,headquarters,today,based,information,received,police,series,resulting,arrest,mastermind,initial,found,mastermind,aged,prior,drug,criminal,group,active,past,year,identify,luxury,breaking,stealing,addition,sold,used,criminal,said,following,police,four,luxury,three,stolen,incident,well,various,used,criminal,tomorrow,case,section,section,penal,code",Robbery or Theft,Robbery or Theft
k27,"rider,four,imprisonment,session,court,today,pleading,guilty,charge,dishonestly,helping,conceal,belonging,elderly,woman,two,ago,judge,handed,sentence,cheng,yen,bee,ordered,serve,sentence,date,arrest,yesterday,accused,belonging,money,bank,account,registered,name,tun,may,charge,framed,section,penal,code,imprisonment,five,fine,mitigation,cheng,unrepresented,said,five,disabled,husband,support,deputy,public,prosecutor,amir,prosecution",Others,Others
k28,"suspected,drug,addict,chase,police,yesterday,district,police,chief,wan,wan,said,ordered,suspect,wheel,stop,vehicle,spotted,suspicious,manner,sped,police,mobile,patrol,vehicle,suspect,three,arresting,suspect,crash,car,driven,suspect,police,said,statement,today,preliminary,investigation,found,suspect,previous,tested,positive,amphetamine,case,section,section,penal,code,public,speculate,incident",Drug Offences,Drug Offences
k29,"june,police,three,men,foreigner,connection,betting,football,championship,june,early,morning,district,police,chief,singh,singh,said,two,men,aged,foreigner,three,around,preliminary,found,three,men,separately,bookie,taking,football,lone,avoid,taking,amount,said,statement,today,police,also,three,mobile,belonging,trio,found,application,regarding,said,two,men,police,bail,foreigner,four,day,june,case,section,betting,act",Not applicable,Others
k32,"june,court,appeal,death,sentence,former,worker,today,jail,two,court,also,ordered,given,rotan,court,panel,che,ordered,accused,serve,sentence,concurrently,date,arrest,march,justice,decision,said,based,submission,lawyer,singh,court,decided,uphold,conviction,however,court,discretion,substitute,death,sentence,life,imprisonment,rotan,high,court,death,finding,guilty,two,drug,house,e,march,parking,lot,e,time,day",Drug Offences,Drug Offences
k33,"june,clerk,law,firm,guilty,court,today,two,lawyer,giving,false,evidence,regarding,bank,document,court,proceeding,k,accused,use,title,lawyer,law,firm,qualified,act,solicitor,restaurant,charge,section,b,legal,profession,act,punishable,section,act,maximum,fine,imprisonment,six,upon,conviction,accused,also,giving,false,evidence,concerning,bank,document,trial,case,civil,high,court,judge,charge,framed,section,penal,code,maximum,imprisonment,seven,fine,magistrate,accused,bail,one,surety,set,august,mention,case,document,submission",Others,Others
k34,"june,national,security,high,alert,address,particularly,extremist,group,home,minister,said,said,evident,success,royal,police,several,people,recently,spread,ideology,still,exist,police,successfully,showing,security,always,prepared,also,indicate,still,manageable,security,said,comment,security,level,following,recent,detention,eight,people,involved,ideology,speaking,national,drug,addiction,science,symposium,today,also,national,antidrug,agency,deputy,eight,simultaneous,weekend,operation,four,suspected,involvement,ideology,involved,six,men,two,penang,aged,security,special,act",Drug Offences,Firearm or Terrorism
k36,"june,private,former,assistant,manager,guilty,session,court,today,soliciting,connection,double,trouble,concert,last,year,accused,soliciting,reward,helping,secure,approval,digital,content,grant,concert,second,charge,accused,cash,cheque,event,reward,assistance,grant,allegedly,federal,territory,bank,branch,last,year,brought,section,aa,commission,act,punishable,section,act,maximum,imprisonment,fine,le,five,time,value,bribe,whichever,higher,deputy,public,prosecutor,bail,additional,condition,accused,report,office,surrender,passport,court,however,defence,lawyer,lower,bail,client,heavily,pregnant,currently,unemployed,due,case,client,pregnant,third,child,two,aged,four,nine,husband,said,judge,bail,one,surety,along,additional,prosecution,set,august,mention",Cyber Crime,Others
k37,"june,restaurant,worker,session,court,today,three,understanding,read,judge,however,plea,case,come,jurisdiction,high,court,accused,supporting,account,bearing,name,telegram,bearing,name,special,terrorism,division,e,police,headquarters,may,charge,framed,section,penal,code,maximum,prison,sentence,fine,forfeiture,property,used,intended,used,upon,conviction,second,charge,accused,possessing,related,location,date,time,charge,framed,section,penal,code,maximum,imprisonment,seven,fine,forfeiture,property,used,intended,upon,conviction,accused,also,admitted,member,group,pledge,allegiance,ceremony,group,abu,al,support,terrorist,group,apartment,unit,may,year,charge,framed,section,penal,code,life,imprisonment,maximum,imprisonment,fine,forfeiture,property,used,intended,used,commit,deputy,public,prosecutor,court,set,date,within,next,two,submit,report,expert,regarding,related,terrorist,group,court,court,set,august,submission,related,case",Firearm or Terrorism,Firearm or Terrorism
k38,"june,unemployed,man,court,today,murdering,mother,house,june,k,sugan,understanding,charge,read,magistrate,plea,murder,fall,jurisdiction,high,court,accused,killing,house,june,charge,section,penal,code,death,penalty,imprisonment,le,cane,upon,conviction,deputy,public,prosecutor,accused,unrepresented,court,fixed,august,mention,previously,body,elderly,woman,found,covered,blood,house,two,ago,revealed,head,neck,blunt,trauma,leading,case,classified,murder",Murder and Homicide,Murder and Homicide
k39,"june,court,appeal,today,death,sentence,man,jail,murdering,house,cleaner,allegedly,three,judge,panel,led,judge,along,appeal,overturn,conviction,court,allow,appeal,commute,death,sentence,high,court,jail,date,arrest,also,cane,decision,justice,said,unsound,mind,knew,nature,conduct,law,fact,murder,counsel,court,commute,death,sentence,jail,deputy,public,prosecutor,court,uphold,death,sentence,found,guilty,high,court,last,year,killing,house,district,high,court,judge,tiang,prove,unsound,mind,incapable,knowing,nature,act,time,killing",Murder and Homicide,Murder and Homicide
k40,"june,five,men,robbery,gang,known,trio,nine,imprisonment,court,today,pleading,guilty,three,robbery,magistrate,handed,sentence,three,jail,count,however,magistrate,ordered,serve,jail,concurrently,date,arrest,march,based,three,five,robbing,three,gold,worth,belonging,three,separate,namely,dang,section,penal,code,imprisonment,six,fine,upon,conviction,deputy,public,prosecutor,amir,prosecution,lawyer,jean,national,legal,aid,foundation,five,accused,another,court,five,accused,three,jail,similar,magistrate,handed,sentence,guilty,robbery,bandar,baru,also,another,three,imprisonment,also,robbery,dental,faculty,medical,deputy,public,prosecutor,case,lawyer,singh,accused",Robbery or Theft,Robbery or Theft
k41,"town,june,court,ordered,man,murder,mother,hospital,ulu,mental,observation,magistrate,application,deputy,public,prosecutor,m,today,ordered,soon,sent,hospital,month,observation,section,criminal,procedure,code,soon,section,penal,code,murdering,ah,ting,house,vista,june,death,penalty,imprisonment,minimum,maximum,given,least,cane,accused,sent,psychiatric,observation,said,accused,holder,card,mental,court,set,mention,submission,medical,report",Murder and Homicide,Murder and Homicide
k42,"june,police,budget,hotel,last,night,rounded,involved,prostitution,dang,district,police,chief,said,aged,charge,sexual,solicit,street,around,taking,back,budget,hotel,rent,daily,basis,based,intelligence,group,frequently,change,avoid,detection,raid,lubricant,gel,mobile,cash,said,statement,today,section,b,penal,code,section,c,immigration,act,also,public,police,channelling,information,regarding,illegal",Others,Sexual Harassment or Sexual Offences or Rape
k43,"june,man,police,station,murdering,wife,hotel,room,today,police,chief,said,suspect,police,station,based,information,police,found,victim,stab,wound,hotel,room,knife,used,suspect,found,scene,said,statement,today,initial,revealed,motive,murder,dissatisfaction,decision,proceed,divorce,request,suspect,victim,hotel,separately,stayed,room,day,incident,suspect,case,section,penal,code,said,anyone,information,contact,senior,investigating,officer,asp,assist,investigation",Murder and Homicide,Murder and Homicide
k45,"june,unemployed,man,six,prison,session,court,today,pleading,guilty,car,two,ago,judge,ordered,prison,term,begin,today,accused,mischief,setting,fire,car,valued,front,apartment,block,section,penal,code,maximum,prison,sentence,fine,according,case,complainant,apartment,child,informed,man,breaking,window,car,roadside,front,building,went,outside,saw,accused,standing,open,door,something,smoke,coming,car,husband,went,downstairs,tried,extinguish,fire,accused,several,intervene,detain,accused,successfully,put,fire,police,accused,knife,lighter,investigation,revealed,intentionally,set,car,fire,deputy,public,prosecutor,jess,fitting,punishment,serve,lesson,accused,seriousness,loss,victim,unrepresented,minimum,fine,unemployed,ailing,mother",Not applicable,Not applicable
k46,"june,former,finance,human,manager,public,company,guilty,session,court,today,three,criminal,breach,trust,may,year,according,tong,group,allegedly,company,fund,making,bank,account,personal,use,accused,group,tun,may,year,section,penal,code,maximum,penalty,imprisonment,fine,upon,conviction,also,guilty,three,alternative,fund,knowing,location,time,three,framed,section,penal,code,upon,conviction,maximum,sentence,five,imprisonment,fine,deputy,public,prosecutor,bail,one,surety,however,lawyer,read,lower,sum,client,unemployed,wife,two,schoolgoing,judge,bail,one,surety,case,mention",Others,Others
k47,"june,elderly,accountant,lost,million,investment,syndicate,purchase,police,chief,m,said,man,lodged,police,report,yesterday,involved,scam,since,last,year,received,provided,information,invest,good,return,short,time,offer,victim,registered,bank,account,monitor,investment,said,statement,today,victim,making,several,starting,last,month,beginning,month,total,amount,transferred,exceeding,million,added,victim,later,informed,syndicate,profit,million,result,investment,pay,commission,million,access,profit,victim,pay,commission,suspected,fake,investment,syndicate,said,case,section,penal,code",Cyber Crime,Cyber Crime
k48,"june,police,man,suspected,syndicate,involved,fraudulent,withdrawal,million,several,fixed,deposit,arrest,man,june,come,detention,woman,employee,bank,june,commercial,crime,investigation,department,director,said,man,directly,involved,case,date,two,believe,people,involved,criminal,syndicate,led,withdrawal,money,fixed,deposit,said,yesterday,june,said,revealed,involvement,syndicate,within,outside,bank,police,received,four,account,bank,staff,early,june,suspicious,cash,fixed,deposit,made,case,section,penal,code,working,track,involved",Others,Others
k50,"june,two,men,court,today,allegedly,drug,may,tan,read,mandarin,magistrate,r,plea,case,jurisdiction,high,court,men,accused,jointly,horizon,tan,faced,four,additional,two,possessing,assortment,weighing,condominium,along,also,one,count,possessing,g,apartment,brought,section,b,dangerous,act,death,penalty,life,imprisonment,death,le,cane,upon,conviction,possession,framed,section,dangerous,act,fine,exceeding,imprisonment,exceeding,five,upon,conviction,court,set,august,case,submission,report,deputy,public,prosecutor,prosecution,lawyer,accused",Drug Offences,Drug Offences
k51,"june,house,renovation,contractor,default,three,jail,session,court,today,failing,provide,explanation,regarding,bank,account,two,ago,judge,made,decision,guilty,alternative,charge,possessing,money,suspected,stolen,fraudulently,individual,failing,provide,satisfactory,explanation,man,house,polis,section,petty,act,maximum,jail,term,one,year,fine,upon,conviction,however,guilty,main,charge,transferring,money,put,bank,account,another,similar,charge,belonging,another,man,march,section,penal,code,maximum,jail,term,five,fine,court,bail,one,surety,set",Cyber Crime,Cyber Crime
k52,"june,father,eight,prison,session,court,today,pleading,guilty,four,beating,two,biological,two,ago,judge,unemployed,man,ordered,prison,term,charge,run,concurrently,date,arrest,june,according,four,accused,custody,daughter,son,accused,intentionally,potentially,causing,physical,emotional,harm,house,may,june,section,child,act,maximum,fine,jail,term,upon,conviction,according,case,may,midnight,accused,beat,son,badminton,also,face,hit,body,daughter,also,struck,face,badminton,may,father,forced,duck,walk,continuously,inside,house,extended,period,june,deputy,public,prosecutor,commensurate,punishment,deterrent,unrepresented,accused,lighter,sentence,five,heart,disease,diabetes,high,blood,pressure",Physical Hurt,Physical Hurt
k53,"june,commission,four,men,three,public,allegedly,monthly,illegal,business,source,said,deputy,director,local,government,authority,two,personnel,enforcement,officer,seven,day,june,another,suspect,former,enforcement,officer,remand,june,source,said,remand,order,magistrate,following,application,dang,district,police,headquarters,local,council,deputy,director,main,suspect,received,monthly,several,massage,entertainment,illegal,allow,operate,said,source,following,arrest,main,suspect,three,also,received,bribe,money,several,enforcement,personnel,local,council,source,told,today,source,said,also,cash,besides,gold,unknown,value,weight,several,capital,city,operation,yesterday,meanwhile,director,confirmed,arrest,case,section,section,act",Others,Others
k54,"june,provided,among,led,extension,remand,order,police,chief,khan,said,besides,investigation,also,use,time,related,case,physical,evidence,location,incident,inconsistent,need,resolved,need,another,six,day,investigation,resolve,satisfied,told,police,rakan,today,court,yesterday,extended,remand,order,six,day,june,assist,autistic,murder,investigation,initially,seven,day,beginning,june,last,year,body,found,lying,stream,close,home,apartment,missing,day,child,based,autopsy,found,wound,neck,body",Murder and Homicide,Murder and Homicide
k57,"june,court,today,extended,remand,order,six,day,june,assist,murder,investigation,lawyer,couple,confirmed,extension,remand,magistrate,following,application,autistic,initially,seven,day,beginning,june,today,assist,murder,case,section,penal,code,body,found,stream,close,home,apartment,day,missing,child,based,autopsy,revealed,wound,neck,body",Murder and Homicide,Murder and Homicide
k58,"june,police,nine,men,involved,abduction,woman,last,month,police,chief,m,said,team,criminal,investigation,department,acting,information,intelligence,aged,various,may,may,police,also,significant,amount,money,secure,release,criminal,drug,abuse,initial,urine,also,revealed,six,positive,said,statement,today,said,day,may,today,assist,investigation,investigation,deputy,public,office,yesterday,five,today,session,court,court,section,act,section,penal,code,guilty,four,bail,prosecution,section,criminal,procedure,code,may,woman,three,men,armed,residence,bus,station,later,day,victim,unharmed,ransom",Drug Offences,Drug Offences
k60,"june,police,confirmed,element,sabotage,malicious,intent,incident,sport,utility,vehicle,parking,lot,church,plaza,last,district,deputy,police,chief,m,said,blood,sample,taken,driver,handed,chemistry,department,drug,alcohol,testing,looking,record,assist,found,accident,male,driver,stated,went,wrong,lane,suddenly,lost,control,skidded,parking,lot,said,statement,today,accident,property,damage,church,ground,driver,sustained,minor,taken,medical,treatment,real,cause,crash,still,investigation,paper,section,road,transport,act,said,also,information,scene,crash,contact,investigating,traffic,officer,come,forward,nearby,police,station",Drug Offences,Drug Offences
k61,"june,despite,increasing,efficiency,police,personnel,need,advanced,equipment,combat,crime,said,deputy,prime,minister,technology,rapidly,also,technology,regard,police,must,upper,hand,eliminate,crime,said,press,conference,police,headquarters,near,today,said,crime,crime,must,use,ai,among,important,provided,royal,police,said,said,home,minister,looking,public,security,ministry,assist,police,upcoming,visit,china,said,though,police,china,advanced,security,equipment,technology,establishment,single,border,agency,one,combat,various,border,crime,various,essential,god,willing,specific,law,made,single,border,agency,hope,security,remain,priority,country,said,also,said,face,recognition,one,district,yet,extended,whole,country",Cyber Crime,Cyber Crime
k62,"may,cake,shop,manager,guilty,session,court,today,cheating,businessman,branded,watch,worth,last,month,amelia,wen,accused,lee,ka,branded,watch,worth,transaction,shopping,charge,framed,section,penal,code,minimum,jail,term,one,year,maximum,whipping,liable,fine,deputy,public,prosecutor,amir,bail,condition,accused,passport,case,lawyer,lim,ching,bail,reduced,since,young,child,husband,salesman,bank,frozen,judge,accused,bail,one,surety,set,document,submission,court,housewife,guilty,unlawfully,bank,may,alongside,another,individual,remains,large,raja,raja,without,valid,section,financial,act,act,provide,maximum,penalty,imprisonment,fine,million,section,upon,conviction,judge,bail,one,surety,set,june",Embezzlement,Others
